h_name,mean_abs_residual
ARI,3364.9627821265613
ATL,4175.089728719266
BAL,4978.25553438646
BOS,474.48922950924253
CHC,1778.6824055334366
CHW,3197.9744476218866
CIN,3984.8422461976743
CLE,3833.6763440861396
COL,4368.827967080033
DET,2935.2929764896603
HOU,3239.1163725826636
KC,3855.061872997612
LAA,1828.0137367195007
LAD,4942.67975732453
MIA,3847.1995307788115
MIL,4487.749205305659
MIN,3811.443143384717
NYM,3390.8113894065514
NYY,1670.397297250664
OAK,4295.3905609375
PHI,2151.5937635636574
PIT,4353.903792399762
SD,4564.813135009847
SEA,2935.640667759293
SF,1232.6413499210628
STL,1483.540827193511
TB,3138.808851729647
TEX,5018.034101670359
TOR,4300.68505524078
WSH,3454.038631144686
