Team,InstagramFollowers,CityPopulation
Diamondbacks,665000,5186958
Braves,1900000,6411149
Orioles,746000,2859024
Red Sox,2200000,5025517
Cubs,1900000,9408576
White Sox,664000,9408576
Reds,761000,2302815
Rockies,552000,3052498
Indians,726000,2171877
Tigers,1000000,44005878
Astros,1600000,7796182
Royals,1000000,2253579
Angels,1200000,12927614
Twins,585000,3757952
Yankees,3900000,19940274
Athletics,530000,2463127
Mariners,927000,4145494
Rays,528000,3424650
Rangers,1000000,8344032
Blue Jays,1700000,3026000
Dodgers,4800000,12927614
Marlins,783000,6457988
Brewers,670000,1574452
Mets,1700000,19940274
Phillies,1300000,6330422
Pirates,837000,2429917
Padres,1400000,3298799
Giants,1600000,4648486
Cardinals,1100000,2811927
Nationals,711000,6436489
